id_x,name,Happiness_score,Country Code,2017,Hours
144,Sri Lanka,4.3660000000000005,LKA,4.179999828,46.8368
729,Sudan,,SDN,12.77299976,
740,Suriname,,SUR,7.598999977,
748,Swaziland,4.212,,,
752,Sweden,7.343,SWE,6.717999935,
756,Switzerland,7.48,CHE,4.796999931,34.5
158,Taiwan,,,,
762,Tajikistan,5.4670000000000005,TJK,10.73799992,
834,Tanzania,3.2310000000000003,TZA,1.93900001,
764,Thailand,6.007999999999999,THA,0.632000029,44.4
626,Timor-Leste,,TLS,2.9630000589999996,40.8569
768,Togo,4.085,TGO,1.657999992,43.7007
780,Trinidad and Tobago,6.192,TTO,2.816999912,
788,Tunisia,4.461,TUN,15.37899971,
792,Turkey,5.372999999999999,TUR,10.81900024,46.2
795,Turkmenistan,5.247000000000001,TKM,3.694999933,
800,Uganda,4.189,UGA,1.6979999540000001,39.2409
804,Ukraine,4.332,UKR,9.510000229,39.0
784,United Arab Emirates,6.825,ARE,2.463000059,
826,United Kingdom,7.053999999999999,GBR,4.335000038,36.62
840,United States,6.892,USA,4.355000018999999,
858,Uruguay,6.292999999999999,URY,7.889999866,37.5964
860,Uzbekistan,6.1739999999999995,UZB,4.972000122,
862,Venezuela,4.707,,,
704,Vietnam,5.175,VNM,1.8860000369999999,
887,Yemen,3.38,,,43.2501
894,Zambia,4.107,ZMB,7.2059998510000005,40.7731
716,Zimbabwe,3.6630000000000003,ZWE,4.94299984,37.8049
